essay_id_comp,prompt_name,task
03656D51096B,Mandatory extracurricular activities,Independent
03739A8DFD62,Summer projects,Independent
037A3E847693,Distance learning,Independent
03803A910311,Mandatory extracurricular activities,Independent
038480498E5A,Grades for extracurricular activities,Independent
038BD0772A14,Community service,Independent
039228E4B779,Seeking multiple opinions,Independent
0398942EFF6E,Cell phones at school,Independent
03990A4F67B4,Grades for extracurricular activities,Independent
039E3E7329B2,Distance learning,Independent
03A12A02CE62,Seeking multiple opinions,Independent
03A2687FCE27,Distance learning,Independent
03B3EDA0F9D7,Summer projects,Independent
03B55D3B695B,Mandatory extracurricular activities,Independent
03B874232827,Distance learning,Independent
03BA5E41C5E4,Distance learning,Independent
03BAAAE93383,Mandatory extracurricular activities,Independent
03BC86ED932A,Community service,Independent
03C562EF629C,Mandatory extracurricular activities,Independent
03C96AF26E75,Seeking multiple opinions,Independent
03CFA8202072,Community service,Independent
03D0A8C34AFB,Grades for extracurricular activities,Independent
03D134875F1C,Distance learning,Independent
03F52910C24F,Community service,Independent
03F56A5C191A,Grades for extracurricular activities,Independent
03FDC60BE33B,Distance learning,Independent
04042B33F470,Cell phones at school,Independent
0408B654C48C,Seeking multiple opinions,Independent
0411473808DC,Mandatory extracurricular activities,Independent
0416D5BC09FB,Community service,Independent
041FABDBF592,Grades for extracurricular activities,Independent
0426BE0F775E,Mandatory extracurricular activities,Independent
042F1ABC1DC7,Grades for extracurricular activities,Independent
04326B0CA099,Mandatory extracurricular activities,Independent
0433D61E8652,Seeking multiple opinions,Independent
043CEF390B3E,Distance learning,Independent
044C80B2A55A,Cell phones at school,Independent
044D921A8C99,Summer projects,Independent
045020BFAD75,Summer projects,Independent
0459F1BBF74A,Cell phones at school,Independent
0459FB59CBA7,Community service,Independent
045C51AB37B3,Grades for extracurricular activities,Independent
045C9829A0F9,Distance learning,Independent
046A86DE2898,Mandatory extracurricular activities,Independent
046C6FB91CBA,Distance learning,Independent
047BD3CB80B4,Distance learning,Independent
04810832D23A,Seeking multiple opinions,Independent
0483125DCD62,Community service,Independent
048CE592752A,Community service,Independent
04906D555188,Mandatory extracurricular activities,Independent
0496DBA378FB,Seeking multiple opinions,Independent
049E10369FBA,Distance learning,Independent
04A018921C58,Seeking multiple opinions,Independent
04A24D0BAB28,Cell phones at school,Independent
04A7E6D80ADD,Summer projects,Independent
04AAE2E8EFB4,Seeking multiple opinions,Independent
04ACA7EB3994,Distance learning,Independent
04AF157D14EA,Mandatory extracurricular activities,Independent
04B5CE4CBF61,Summer projects,Independent
04B6F07AC0EC,Seeking multiple opinions,Independent
04B9D7851CAC,Seeking multiple opinions,Independent
04BC78F95F4A,Distance learning,Independent
04BF8771ADA6,Summer projects,Independent
04C46E44F660,Grades for extracurricular activities,Independent
04C4DFEECF27,Seeking multiple opinions,Independent
04C632140E83,Community service,Independent
04D10F678D31,Seeking multiple opinions,Independent
04D4F9F350F6,Distance learning,Independent
04D653441263,Distance learning,Independent
04D8A1F09465,Grades for extracurricular activities,Independent
04E2B40088AB,Seeking multiple opinions,Independent
04F17031683C,Seeking multiple opinions,Independent
04F4F6D2ABE2,Distance learning,Independent
05011EB91BCE,Grades for extracurricular activities,Independent
0504EEB01AD9,Grades for extracurricular activities,Independent
0507DAFBE89D,Seeking multiple opinions,Independent
050AB114EBE2,Cell phones at school,Independent
050ABE0F7EDA,Seeking multiple opinions,Independent
050EC6489A64,Grades for extracurricular activities,Independent
05101578DCA8,Summer projects,Independent
05118F820085,Distance learning,Independent
051C3A22AEE0,Distance learning,Independent
051F7768F76D,Summer projects,Independent
05273EE0A28A,Seeking multiple opinions,Independent
0527DB04DCC0,Distance learning,Independent
052BF542A50F,Cell phones at school,Independent
052F182ACD73,Community service,Independent
053ACB9DFE74,Seeking multiple opinions,Independent
05452D9728B2,Community service,Independent
054C082D0304,Distance learning,Independent
054D758A0DD0,Summer projects,Independent
05512D7C6578,Community service,Independent
05528E85EA1B,Community service,Independent
0552EE171A0A,Mandatory extracurricular activities,Independent
0555B97EB61C,Summer projects,Independent
0563F089C239,Cell phones at school,Independent
058675A4D020,Cell phones at school,Independent
058BD5D122D1,Summer projects,Independent
058CA87825F6,Mandatory extracurricular activities,Independent
059DFFE3A3A9,Cell phones at school,Independent
05A0DA9580E5,Grades for extracurricular activities,Independent
05A2C2BB8082,Cell phones at school,Independent
05A474FBA68F,Grades for extracurricular activities,Independent
05A6C6DF86A9,Distance learning,Independent
05B414601770,Grades for extracurricular activities,Independent
05B970A2AA96,Community service,Independent
05BA34E2D72A,Distance learning,Independent
05C19B6DF445,Grades for extracurricular activities,Independent
05C28F111573,Summer projects,Independent
05C8C18D341B,Summer projects,Independent
05CE48E8193E,Summer projects,Independent
05D237F606EA,Distance learning,Independent
05D639BB0AB4,Distance learning,Independent
05D84C1F29D4,Seeking multiple opinions,Independent
05DF38C35D1D,Mandatory extracurricular activities,Independent
05E4FBBF2E50,Grades for extracurricular activities,Independent
05E95229344B,Mandatory extracurricular activities,Independent
05EC08C05019,Distance learning,Independent
05EF8571B859,Mandatory extracurricular activities,Independent
05F30981F3EB,Distance learning,Independent
05F3A442CAE3,Distance learning,Independent
05F76135BBE1,Summer projects,Independent
05F87BEFBD79,Summer projects,Independent
05F9DC51226B,Seeking multiple opinions,Independent
05FB627DCA52,Mandatory extracurricular activities,Independent
05FFBFA9B3BA,Cell phones at school,Independent
06082EEC2458,Mandatory extracurricular activities,Independent
0610C8536282,Community service,Independent
0611BEFA3685,Seeking multiple opinions,Independent
062C24EF834D,Grades for extracurricular activities,Independent
06348D6E4080,Grades for extracurricular activities,Independent
063D5478D82F,Mandatory extracurricular activities,Independent
0640FE8DF9D6,Distance learning,Independent
06462BAC62B2,Cell phones at school,Independent
0647269B45A1,Community service,Independent
064E497ED786,Mandatory extracurricular activities,Independent
0652A1415220,Community service,Independent
06544C8704C4,Seeking multiple opinions,Independent
06592F816295,Distance learning,Independent
0664B75B49BA,Seeking multiple opinions,Independent
06699F123D6B,Seeking multiple opinions,Independent
066B1D7C9214,Distance learning,Independent
066BF70B8B98,Mandatory extracurricular activities,Independent
066F06E5E52C,Summer projects,Independent
067194796AD7,Community service,Independent
0679BAADD10C,Grades for extracurricular activities,Independent
067A65349063,Cell phones at school,Independent
06814DF362D6,Mandatory extracurricular activities,Independent
0684F83533CE,Mandatory extracurricular activities,Independent
068B2C038555,Mandatory extracurricular activities,Independent
068EECC9A878,Distance learning,Independent
068F206FE4F8,Grades for extracurricular activities,Independent
06936C8AA35D,Seeking multiple opinions,Independent
0699B4A08981,Cell phones at school,Independent
069EFABE5A55,Mandatory extracurricular activities,Independent
06A22B3B4BD9,Community service,Independent
06A9B4BC2E90,Seeking multiple opinions,Independent
06ADDCC67A61,Distance learning,Independent
06B1E9A43C96,Seeking multiple opinions,Independent
06BC6DAE198F,Summer projects,Independent
06C145EE7C45,Seeking multiple opinions,Independent
06C88B7A0E1D,Mandatory extracurricular activities,Independent
06CDC40C681B,Mandatory extracurricular activities,Independent
06DAD53DA2B9,Mandatory extracurricular activities,Independent
06DC11A94052,Distance learning,Independent
06DD81D3CF74,Community service,Independent
06DDAA4EB60C,Grades for extracurricular activities,Independent
06E3595C94BF,Grades for extracurricular activities,Independent
06E490F2538D,Summer projects,Independent
06E8CF6B7DD0,Community service,Independent
06EC785D1238,Distance learning,Independent
06F37AF3F52A,Grades for extracurricular activities,Independent
06F5F6A09DC6,Seeking multiple opinions,Independent
070148989D83,Summer projects,Independent
070413F48F80,Seeking multiple opinions,Independent
0713804A7926,Cell phones at school,Independent
071BF63AF332,Mandatory extracurricular activities,Independent
071E1B145717,Cell phones at school,Independent
071FB27E532B,Grades for extracurricular activities,Independent
0726FFE208DE,Community service,Independent
0730ACD2E23E,Seeking multiple opinions,Independent
07348A4B6E9C,Seeking multiple opinions,Independent
07397A3E9D8D,Distance learning,Independent
073F001C3DAB,Distance learning,Independent
07414A338814,Distance learning,Independent
0741F0C1D776,Distance learning,Independent
07555937FA5D,Distance learning,Independent
0756FE811833,Seeking multiple opinions,Independent
075952A15F65,Distance learning,Independent
075ACD93F7FA,Community service,Independent
076391C8B532,Cell phones at school,Independent
076C80C8D6FD,Grades for extracurricular activities,Independent
076D21D61C04,Grades for extracurricular activities,Independent
076DBAE9AA98,Grades for extracurricular activities,Independent
076FE42102A1,Cell phones at school,Independent
077B2A708101,Mandatory extracurricular activities,Independent
077CBD1D991B,Seeking multiple opinions,Independent
0780999D8532,Distance learning,Independent
07881BC0DDB9,Summer projects,Independent
078FCB89177B,Seeking multiple opinions,Independent
07970BC175FC,Summer projects,Independent
0797349D7D61,Community service,Independent
079FDB42E429,Distance learning,Independent
07A023BE2629,Distance learning,Independent
07A88E52FC70,Mandatory extracurricular activities,Independent
07AB5218B889,Mandatory extracurricular activities,Independent
07BDA9A96A77,Summer projects,Independent
07C3B59F13B0,Seeking multiple opinions,Independent
07C49C9E6178,Distance learning,Independent
07C6BB6ADA38,Distance learning,Independent
07C7A31386A0,Seeking multiple opinions,Independent
07CC30055043,Cell phones at school,Independent
07CE3E0B4129,Community service,Independent
07CF059A90F6,Distance learning,Independent
07D52443B420,Seeking multiple opinions,Independent
07DD81C2D396,Cell phones at school,Independent
07DEAD316EFB,Community service,Independent
07E3AD494BC0,Grades for extracurricular activities,Independent
07E503B34962,Community service,Independent
07E9F8609AC6,Community service,Independent
07EA2B30D5B6,Mandatory extracurricular activities,Independent
0802AEA16E9F,Grades for extracurricular activities,Independent
080E2CA04B67,Cell phones at school,Independent
080EC4BBF650,Community service,Independent
0814426B27DF,Seeking multiple opinions,Independent
081C66256B98,Summer projects,Independent
081F2D862A89,Summer projects,Independent
0825571D1A47,Distance learning,Independent
082598CC8955,Cell phones at school,Independent
082E19093947,Summer projects,Independent
083555B77983,Mandatory extracurricular activities,Independent
0839B4ACC2AF,Summer projects,Independent
0843E8886EC2,Community service,Independent
08479124D1C4,Grades for extracurricular activities,Independent
08482C3DA43A,Seeking multiple opinions,Independent
084898C37A44,Cell phones at school,Independent
084A87B3B853,Cell phones at school,Independent
084B9E2AD4AC,Grades for extracurricular activities,Independent
08530C01BCFB,Summer projects,Independent
08584DAB22EB,Grades for extracurricular activities,Independent
085AF5011C2E,Grades for extracurricular activities,Independent
086603D5B319,Mandatory extracurricular activities,Independent
086D6343AB33,Grades for extracurricular activities,Independent
0872DEBC7F18,Summer projects,Independent
087B943BBF9C,Grades for extracurricular activities,Independent
087E56206FE1,Community service,Independent
087F3F05712B,Grades for extracurricular activities,Independent
08855915B1F3,Grades for extracurricular activities,Independent
0886711ECD4E,Mandatory extracurricular activities,Independent
088C5E1694FB,Grades for extracurricular activities,Independent
088CB85E5B7A,Distance learning,Independent
088FCB397B74,Seeking multiple opinions,Independent
08904A41504E,Community service,Independent
0891D4A76005,Grades for extracurricular activities,Independent
089CDCA504A1,Cell phones at school,Independent
089DE1EB8CAF,Seeking multiple opinions,Independent
089F4D797A5E,Mandatory extracurricular activities,Independent
08A03F44195D,Grades for extracurricular activities,Independent
08A9CC07474D,Distance learning,Independent
08B72DCFD859,Distance learning,Independent
08B9D254FD4C,Cell phones at school,Independent
08BFFA9AD871,Cell phones at school,Independent
08C05F2480E4,Seeking multiple opinions,Independent
08C34A980940,Seeking multiple opinions,Independent
08CE03D82736,Mandatory extracurricular activities,Independent
08D32CC20CAD,Cell phones at school,Independent
08D518B80ED0,Summer projects,Independent
08D6D5B01824,Community service,Independent
08D8F3EF3B08,Grades for extracurricular activities,Independent
08F8BF983C64,Summer projects,Independent
08FAE6E0BDCC,Mandatory extracurricular activities,Independent
08FBED9A66DA,Summer projects,Independent
08FC0154E0EF,Distance learning,Independent
09035E72A3AE,Grades for extracurricular activities,Independent
0910E011143F,Community service,Independent
091522181D61,Mandatory extracurricular activities,Independent
093403D63CA6,Distance learning,Independent
093BD0824B7E,Distance learning,Independent
093F76C75A93,Seeking multiple opinions,Independent
0949D328CAC8,Grades for extracurricular activities,Independent
09537221A5ED,Seeking multiple opinions,Independent
095595DDF4AC,Grades for extracurricular activities,Independent
0959BDBD0FB4,Seeking multiple opinions,Independent
095D057ACAD7,Cell phones at school,Independent
095F6D0A8377,Summer projects,Independent
09618943A295,Mandatory extracurricular activities,Independent
09621E6AE55D,Mandatory extracurricular activities,Independent
0971823179F9,Community service,Independent
09770DECD26C,Mandatory extracurricular activities,Independent
097BDC9D09D2,Seeking multiple opinions,Independent
097FE8053507,Grades for extracurricular activities,Independent
0982C9F47D30,Mandatory extracurricular activities,Independent
0982DD0EB8E5,Distance learning,Independent
0982F748C034,Mandatory extracurricular activities,Independent
0985602832CD,Cell phones at school,Independent
098FA5D40CF6,Distance learning,Independent
09935EBDBB7C,Summer projects,Independent
099764B21768,Mandatory extracurricular activities,Independent
099773A903CD,Seeking multiple opinions,Independent
09978094D17C,Distance learning,Independent
09A5C0911124,Mandatory extracurricular activities,Independent
09AA28BBE192,Grades for extracurricular activities,Independent
09AA7375FE64,Seeking multiple opinions,Independent
09ABE1DE8537,Summer projects,Independent
09ADB0629CD0,Distance learning,Independent
09AE5FE4E4D9,Seeking multiple opinions,Independent
09C0C3EFC66E,Grades for extracurricular activities,Independent
09C47605F3D6,Community service,Independent
09C8F49982B9,Mandatory extracurricular activities,Independent
09CC8EB90437,Distance learning,Independent
09E2F282EC82,Summer projects,Independent
09ECF76CBD3C,Summer projects,Independent
09F032EC5F21,Community service,Independent
09F1FC4F0F47,Grades for extracurricular activities,Independent
09F294EFAFC2,Distance learning,Independent
0A082DA0A890,Distance learning,Independent
0A0B289272ED,Summer projects,Independent
0A23334002E0,Community service,Independent
0A259B8AA9B2,Seeking multiple opinions,Independent
0A273CDFC416,Mandatory extracurricular activities,Independent
0A2A6855DE4F,Grades for extracurricular activities,Independent
0A2EE9B6BF75,Distance learning,Independent
0A373C01EAD7,Mandatory extracurricular activities,Independent
0A3818A64CF5,Grades for extracurricular activities,Independent
0A43A08B43DA,Summer projects,Independent
0A4A60D36D7F,Community service,Independent
0A5299390319,Distance learning,Independent
0A57811CB8A2,Summer projects,Independent
0A591A9C5A7F,Community service,Independent
0A5B8761B187,Mandatory extracurricular activities,Independent
0A5BA91AA8B5,Cell phones at school,Independent
0A5FBB44DC50,Summer projects,Independent
0A6324CE9AD0,Seeking multiple opinions,Independent
0A66AD23400E,Cell phones at school,Independent
0A67029FA17C,Mandatory extracurricular activities,Independent
0A6BC5C6C8D3,Summer projects,Independent
0A6C0B6D3925,Cell phones at school,Independent
0A7A8F866208,Cell phones at school,Independent
0A7EE102DFCB,Distance learning,Independent
0A821CBEEBB1,Distance learning,Independent
0A9737F93012,Community service,Independent
0AA2CC0ED760,Cell phones at school,Independent
0AA8E5C89F0F,Community service,Independent
0AB1AF1AE293,Seeking multiple opinions,Independent
0ABAB1A72BD6,Community service,Independent
0ABE27218D9C,Cell phones at school,Independent
0AC49CE1A516,Distance learning,Independent
0AC92FABBDEF,Seeking multiple opinions,Independent
0AD49DAA4C83,Summer projects,Independent
0AD69388300B,Distance learning,Independent
0ADBB145FC2C,Mandatory extracurricular activities,Independent
0AE484ECECE6,Summer projects,Independent
0AE4F7182044,Grades for extracurricular activities,Independent
0AF19FB6EFB5,Cell phones at school,Independent
0AF71A83C114,Community service,Independent
0AF80C04491F,Grades for extracurricular activities,Independent
0AFAD06336F3,Distance learning,Independent
0B084590D876,Seeking multiple opinions,Independent
0B0A72BE66A0,Community service,Independent
0B14040A5B27,Grades for extracurricular activities,Independent
0B1B9FA86199,Mandatory extracurricular activities,Independent
0B1CD576E3E9,Grades for extracurricular activities,Independent
0B25AA5D6644,Distance learning,Independent
0B2C0C1833BF,Community service,Independent
0B3BA24EAF48,Seeking multiple opinions,Independent
0B4FAC7A4A8B,Grades for extracurricular activities,Independent
0B59FE37329D,Seeking multiple opinions,Independent
0B5BC07C6E03,Mandatory extracurricular activities,Independent
0B5BFD4E5904,Community service,Independent
0B64C3347CCA,Mandatory extracurricular activities,Independent
0B720B5EA0E9,Distance learning,Independent
0B7832DC2556,Grades for extracurricular activities,Independent
0B83D59D898C,Cell phones at school,Independent
0B858FF5C4C0,Community service,Independent
0B88C91C0403,Distance learning,Independent
0B8F67C0A3A1,Grades for extracurricular activities,Independent
0B994B3916FB,Distance learning,Independent
0B998187123D,Seeking multiple opinions,Independent
0B9CE8AC36DD,Distance learning,Independent
0B9F19D6B713,Seeking multiple opinions,Independent
0BA3163D4609,Summer projects,Independent
0BA416865EFD,Seeking multiple opinions,Independent
0BA5506F91C5,Grades for extracurricular activities,Independent
0BA5EF441ADD,Seeking multiple opinions,Independent
0BAA5F009116,Summer projects,Independent
0BAF08001514,Cell phones at school,Independent
0BB223A348F6,Summer projects,Independent
0BB4037BFB98,Distance learning,Independent
0BC016A285DC,Grades for extracurricular activities,Independent
0BC2CAE08FDF,Community service,Independent
0BC2D988CA5D,Cell phones at school,Independent
0BC531D9A1FD,Community service,Independent
0BCA18283DBE,Distance learning,Independent
0BCB61C92C49,Mandatory extracurricular activities,Independent
0BCBCD2D4FEA,Summer projects,Independent
0BCF9505A354,Distance learning,Independent
0BDADA3AFF77,Seeking multiple opinions,Independent
0BE21117EB3D,Community service,Independent
0BE6935B5A54,Grades for extracurricular activities,Independent
0BEB59F1FC9F,Summer projects,Independent
0BF56A2681D3,Community service,Independent
0BF6D9E2CAFF,Cell phones at school,Independent
0BF9E22B7981,Community service,Independent
0BFAE39E5020,Seeking multiple opinions,Independent
0C02DB524F25,Distance learning,Independent
0C06B988433C,Distance learning,Independent
0C085229F46A,Distance learning,Independent
0C0DECDCFD52,Summer projects,Independent
0C1372F878A8,Grades for extracurricular activities,Independent
0C1A8B5D2903,Cell phones at school,Independent
0C1BFE5E9F69,Grades for extracurricular activities,Independent
0C216F2C365B,Cell phones at school,Independent
0C235A04EC44,Mandatory extracurricular activities,Independent
0C25854E9900,Summer projects,Independent
0C2F4FE7BAB4,Distance learning,Independent
0C386AFA6EB4,Mandatory extracurricular activities,Independent
0C3BBDB91972,Seeking multiple opinions,Independent
0C40CA84544C,Community service,Independent
0C4ADE185903,Cell phones at school,Independent
0C5456B41BD0,Summer projects,Independent
0C57E7728900,Cell phones at school,Independent
0C636735B18E,Summer projects,Independent
0C636C7DADB4,Distance learning,Independent
0C67F1A5230C,Mandatory extracurricular activities,Independent
0C699C871AA5,Distance learning,Independent
0C751C31DE85,Mandatory extracurricular activities,Independent
0C7C06A6D656,Cell phones at school,Independent
0C80AA2C816D,Seeking multiple opinions,Independent
0C82FD59BA0B,Distance learning,Independent
0C88519C4C03,Grades for extracurricular activities,Independent
0C9C3B277852,Mandatory extracurricular activities,Independent
0C9DF15EB6EA,Distance learning,Independent
0CA02601D5C5,Summer projects,Independent
0CA6C4864708,Mandatory extracurricular activities,Independent
0CAB1510D416,Community service,Independent
0CAC184297FF,Summer projects,Independent
0CAF8CEA967C,Seeking multiple opinions,Independent
0CB2758A3289,Summer projects,Independent
0CB3A4D9ABF9,Distance learning,Independent
0CB3CA3672E2,Summer projects,Independent
0CB7BE27C466,Grades for extracurricular activities,Independent
0CC7CB437B4C,Summer projects,Independent
0CDA737BEA89,Community service,Independent
0CDCBCF07C6D,Community service,Independent
0CDCC84B9EA9,Distance learning,Independent
0CE2B34B05CB,Grades for extracurricular activities,Independent
0CE521F8D172,Community service,Independent
0CE6E6BF8EA4,Community service,Independent
0CF046E953FB,Community service,Independent
0CF568439ADB,Seeking multiple opinions,Independent
0CF61A389E37,Distance learning,Independent
0CFDDC1CF75A,Cell phones at school,Independent
0D0BB94FCCFA,Distance learning,Independent
0D1493FDAAD3,Seeking multiple opinions,Independent
0D18BDF22C59,Community service,Independent
0D1951E5DA3E,Cell phones at school,Independent
0D1B0AE68DC6,Mandatory extracurricular activities,Independent
0D1CB28776D2,Cell phones at school,Independent
0D221F0798ED,Seeking multiple opinions,Independent
0D27B2DDECF7,Summer projects,Independent
0D29A98FE8FB,Seeking multiple opinions,Independent
0D32A07A3986,Mandatory extracurricular activities,Independent
0D34832378C0,Seeking multiple opinions,Independent
0D3737E9F443,Seeking multiple opinions,Independent
0D57449ADB7E,Grades for extracurricular activities,Independent
0D6549D2F364,Community service,Independent
0D6A0F3CE1CD,Seeking multiple opinions,Independent
0D6D92C4EAC4,Cell phones at school,Independent
0D6EAC137920,Seeking multiple opinions,Independent
0D6F5D6E2E77,Seeking multiple opinions,Independent
0D788E8BDADB,Grades for extracurricular activities,Independent
0D794A60E418,Community service,Independent
0D7E8A53C9B7,Cell phones at school,Independent
0D8035CE77E4,Cell phones at school,Independent
0D8E321A9415,Mandatory extracurricular activities,Independent
0D9011021C2B,Mandatory extracurricular activities,Independent
0D91FC8A9FE7,Summer projects,Independent
0D944DDF9492,Mandatory extracurricular activities,Independent
0D983D66364A,Distance learning,Independent
0DA533FE0FB1,Summer projects,Independent
0DAD662B1782,Seeking multiple opinions,Independent
0DB1509D2CDB,Summer projects,Independent
0DB1CE0764E9,Mandatory extracurricular activities,Independent
0DB421BA1BFD,Distance learning,Independent
0DBDA28DA968,Cell phones at school,Independent
0DBEBB0EED72,Community service,Independent
0DC26D7994A7,Grades for extracurricular activities,Independent
0DC3194D5EDE,Mandatory extracurricular activities,Independent
0DD088792AA7,Cell phones at school,Independent
0DD93F825FD7,Distance learning,Independent
0DE08F4053C5,Mandatory extracurricular activities,Independent
0DE4BFD7B94A,Community service,Independent
0DE6D016C7FC,Grades for extracurricular activities,Independent
0DE6E95F6D77,Community service,Independent
0DE917C7C818,Summer projects,Independent
0DEA400FB9F8,Grades for extracurricular activities,Independent
0DEAB57A504B,Seeking multiple opinions,Independent
0DEB291B21FA,Grades for extracurricular activities,Independent
0DF0F6199BD0,Summer projects,Independent
0DF2006FC8F1,Cell phones at school,Independent
0DF2DA5C58FA,Distance learning,Independent
0DF3E1BC7D04,Mandatory extracurricular activities,Independent
0E07647BBC59,Distance learning,Independent
0E0ED6AD074D,Cell phones at school,Independent
0E1251EF8544,Seeking multiple opinions,Independent
0E24F08F16D5,Seeking multiple opinions,Independent
0E24F8C90CFB,Distance learning,Independent
0E3AC9BFA07C,Distance learning,Independent
0E40A58A09D7,Community service,Independent
0E5278E12B82,Mandatory extracurricular activities,Independent
0E5434B8EA66,Mandatory extracurricular activities,Independent
0E5BCFB10650,Summer projects,Independent
0E5FA083E123,Seeking multiple opinions,Independent
0E6A84091310,Community service,Independent
0E6ADE74D132,Cell phones at school,Independent
0E6BB199BF93,Mandatory extracurricular activities,Independent
0E6C3C2133C4,Mandatory extracurricular activities,Independent
0E848AA38DB7,Grades for extracurricular activities,Independent
0E89829FDE70,Seeking multiple opinions,Independent
0E8CB55193E3,Seeking multiple opinions,Independent
0E8CBECB7CCB,Mandatory extracurricular activities,Independent
0E976DD14859,Cell phones at school,Independent
0E9A166C4B67,Grades for extracurricular activities,Independent
