essay_id_comp,qbin,lbin
030BBFC7D7F9,1,0
0316F6288791,0,1
0322EFDA120C,0,1
0333283809F6,0,0
03401B71D0F2,2,0
034A4394335C,0,1
034F335E1B82,1,0
03503E5155AE,0,0
0358E1A5CC75,1,1
03656D51096B,0,0
03739A8DFD62,2,0
037A3E847693,0,1
03803A910311,0,0
038480498E5A,2,1
038BD0772A14,0,1
039228E4B779,0,1
0398942EFF6E,0,0
03990A4F67B4,0,0
039E3E7329B2,0,0
03A12A02CE62,2,0
03A2687FCE27,2,0
03B3EDA0F9D7,1,0
03B55D3B695B,0,0
03B874232827,0,0
03BA5E41C5E4,2,1
03BAAAE93383,1,1
03BC86ED932A,2,1
03C562EF629C,2,1
03C96AF26E75,0,0
03CFA8202072,2,0
03D0A8C34AFB,0,0
03D134875F1C,2,0
03F52910C24F,2,1
03F56A5C191A,0,0
03FDC60BE33B,0,1
04042B33F470,0,0
0408B654C48C,2,0
0411473808DC,0,0
0416D5BC09FB,0,0
041FABDBF592,0,0
0426BE0F775E,0,0
042F1ABC1DC7,0,0
04326B0CA099,0,1
0433D61E8652,0,1
043CEF390B3E,0,0
044C80B2A55A,2,1
044D921A8C99,2,0
045020BFAD75,0,1
0459F1BBF74A,0,1
0459FB59CBA7,1,0
045C51AB37B3,0,1
045C9829A0F9,2,0
046A86DE2898,0,0
046C6FB91CBA,1,0
047BD3CB80B4,0,1
04810832D23A,0,0
0483125DCD62,0,1
048CE592752A,0,1
04906D555188,0,0
0496DBA378FB,2,1
049E10369FBA,2,0
04A018921C58,1,1
04A24D0BAB28,0,0
04A7E6D80ADD,1,0
04AAE2E8EFB4,0,0
04ACA7EB3994,0,1
04AF157D14EA,1,1
04B5CE4CBF61,2,1
04B6F07AC0EC,1,1
04B9D7851CAC,0,1
04BC78F95F4A,0,1
04BF8771ADA6,0,1
04C46E44F660,0,0
04C4DFEECF27,0,0
04C632140E83,0,0
04D10F678D31,0,0
04D4F9F350F6,0,0
04D653441263,2,0
04D8A1F09465,0,0
04E2B40088AB,1,0
04F17031683C,0,1
04F4F6D2ABE2,0,0
05011EB91BCE,0,0
0504EEB01AD9,0,1
0507DAFBE89D,2,1
050AB114EBE2,0,1
050ABE0F7EDA,0,0
050EC6489A64,0,0
05101578DCA8,0,0
05118F820085,0,0
051C3A22AEE0,1,0
051F7768F76D,2,0
05273EE0A28A,1,1
0527DB04DCC0,2,1
052BF542A50F,0,0
052F182ACD73,0,0
053ACB9DFE74,0,1
05452D9728B2,1,0
054C082D0304,0,1
054D758A0DD0,1,0
05512D7C6578,1,0
05528E85EA1B,0,1
0552EE171A0A,0,0
0555B97EB61C,2,1
0563F089C239,0,1
058675A4D020,0,1
058BD5D122D1,0,0
058CA87825F6,1,1
059DFFE3A3A9,0,1
05A0DA9580E5,0,1
05A2C2BB8082,0,0
05A474FBA68F,0,0
05A6C6DF86A9,2,1
05B414601770,2,0
05B970A2AA96,0,1
05BA34E2D72A,0,0
05C19B6DF445,0,0
05C28F111573,2,0
05C8C18D341B,2,1
05CE48E8193E,1,0
05D237F606EA,0,1
05D639BB0AB4,1,1
05D84C1F29D4,0,1
05DF38C35D1D,1,1
05E4FBBF2E50,0,0
05E95229344B,0,1
05EC08C05019,0,1
05EF8571B859,2,0
05F30981F3EB,0,1
05F3A442CAE3,2,0
05F76135BBE1,1,0
05F87BEFBD79,0,0
05F9DC51226B,1,1
05FB627DCA52,0,0
05FFBFA9B3BA,0,0
06082EEC2458,2,1
0610C8536282,2,0
0611BEFA3685,1,1
062C24EF834D,2,0
06348D6E4080,0,1
063D5478D82F,0,0
0640FE8DF9D6,2,0
06462BAC62B2,0,1
0647269B45A1,0,0
064E497ED786,0,0
0652A1415220,0,0
06544C8704C4,0,1
06592F816295,0,1
0664B75B49BA,1,1
06699F123D6B,1,0
066B1D7C9214,0,1
066BF70B8B98,0,1
066F06E5E52C,0,1
067194796AD7,2,1
0679BAADD10C,2,0
067A65349063,0,1
06814DF362D6,0,0
0684F83533CE,2,1
068B2C038555,0,1
068EECC9A878,0,1
068F206FE4F8,0,0
06936C8AA35D,2,0
0699B4A08981,2,1
069EFABE5A55,0,0
06A22B3B4BD9,0,1
06A9B4BC2E90,0,0
06ADDCC67A61,2,0
06B1E9A43C96,2,0
06BC6DAE198F,1,0
06C145EE7C45,2,1
06C88B7A0E1D,2,0
06CDC40C681B,1,1
06DAD53DA2B9,0,0
06DC11A94052,0,0
06DD81D3CF74,0,0
06DDAA4EB60C,0,1
06E3595C94BF,0,0
06E490F2538D,2,1
06E8CF6B7DD0,0,0
06EC785D1238,0,1
06F37AF3F52A,0,1
06F5F6A09DC6,0,1
070148989D83,1,1
070413F48F80,0,1
0713804A7926,1,0
071BF63AF332,2,1
071E1B145717,0,0
071FB27E532B,0,1
0726FFE208DE,0,1
0730ACD2E23E,2,0
07348A4B6E9C,2,0
07397A3E9D8D,2,1
073F001C3DAB,1,1
07414A338814,0,0
0741F0C1D776,2,1
07555937FA5D,0,1
0756FE811833,0,1
075952A15F65,1,0
075ACD93F7FA,0,0
076391C8B532,2,1
076C80C8D6FD,2,1
076D21D61C04,2,1
076DBAE9AA98,2,1
076FE42102A1,0,0
077B2A708101,1,1
077CBD1D991B,0,1
0780999D8532,0,0
07881BC0DDB9,0,1
078FCB89177B,1,0
07970BC175FC,0,1
0797349D7D61,0,0
079FDB42E429,2,1
07A023BE2629,2,0
07A88E52FC70,2,1
07AB5218B889,0,1
07BDA9A96A77,2,0
07C3B59F13B0,1,1
07C49C9E6178,1,0
07C6BB6ADA38,0,0
07C7A31386A0,2,0
07CC30055043,0,0
07CE3E0B4129,0,1
07CF059A90F6,2,1
07D52443B420,2,1
07DD81C2D396,0,1
07DEAD316EFB,2,0
07E3AD494BC0,1,0
07E503B34962,0,1
07E9F8609AC6,0,0
07EA2B30D5B6,0,0
0802AEA16E9F,1,0
080E2CA04B67,2,1
080EC4BBF650,2,0
0814426B27DF,0,1
081C66256B98,0,0
081F2D862A89,2,1
0825571D1A47,2,1
082598CC8955,0,0
082E19093947,0,1
083555B77983,0,1
0839B4ACC2AF,2,0
0843E8886EC2,1,1
08479124D1C4,0,0
08482C3DA43A,0,1
084898C37A44,0,1
084A87B3B853,0,0
084B9E2AD4AC,0,1
08530C01BCFB,0,0
08584DAB22EB,0,0
085AF5011C2E,0,0
086603D5B319,0,0
086D6343AB33,0,0
0872DEBC7F18,2,1
087B943BBF9C,0,0
087E56206FE1,1,1
087F3F05712B,0,1
08855915B1F3,0,1
0886711ECD4E,2,1
088C5E1694FB,0,0
088CB85E5B7A,2,1
088FCB397B74,0,0
08904A41504E,0,0
0891D4A76005,0,0
089CDCA504A1,0,0
089DE1EB8CAF,2,1
089F4D797A5E,1,0
08A03F44195D,0,0
08A9CC07474D,1,0
08B72DCFD859,2,1
08B9D254FD4C,0,0
08BFFA9AD871,0,0
08C05F2480E4,0,1
08C34A980940,1,1
08CE03D82736,0,1
08D32CC20CAD,0,1
08D518B80ED0,0,0
08D6D5B01824,1,1
08D8F3EF3B08,0,0
08F8BF983C64,2,0
08FAE6E0BDCC,0,0
08FBED9A66DA,0,1
08FC0154E0EF,1,1
09035E72A3AE,0,0
0910E011143F,0,0
091522181D61,0,1
093403D63CA6,0,1
093BD0824B7E,2,0
093F76C75A93,2,0
0949D328CAC8,0,1
09537221A5ED,2,1
095595DDF4AC,0,0
0959BDBD0FB4,2,0
095D057ACAD7,0,0
095F6D0A8377,0,1
09618943A295,2,1
09621E6AE55D,0,0
0971823179F9,2,1
09770DECD26C,0,0
097BDC9D09D2,0,0
097FE8053507,0,1
0982C9F47D30,0,0
0982DD0EB8E5,0,0
0982F748C034,2,0
0985602832CD,0,0
098FA5D40CF6,0,0
09935EBDBB7C,0,1
099764B21768,2,0
099773A903CD,1,0
09978094D17C,1,1
09A5C0911124,1,0
09AA28BBE192,2,1
09AA7375FE64,1,1
09ABE1DE8537,1,1
09ADB0629CD0,0,0
09AE5FE4E4D9,0,1
09C0C3EFC66E,0,0
09C47605F3D6,0,0
09C8F49982B9,0,0
09CC8EB90437,1,0
09E2F282EC82,0,1
09ECF76CBD3C,0,1
09F032EC5F21,2,1
09F1FC4F0F47,0,1
09F294EFAFC2,1,1
0A082DA0A890,2,0
0A0B289272ED,2,1
0A23334002E0,1,0
0A259B8AA9B2,0,0
0A273CDFC416,1,0
0A2A6855DE4F,2,1
0A2EE9B6BF75,1,0
0A373C01EAD7,0,1
0A3818A64CF5,0,1
0A43A08B43DA,0,0
0A4A60D36D7F,2,0
0A5299390319,0,1
0A57811CB8A2,0,1
0A591A9C5A7F,0,1
0A5B8761B187,1,0
0A5BA91AA8B5,0,1
0A5FBB44DC50,1,0
0A6324CE9AD0,0,0
0A66AD23400E,2,1
0A67029FA17C,2,1
0A6BC5C6C8D3,1,1
0A6C0B6D3925,0,1
0A7A8F866208,0,0
0A7EE102DFCB,0,0
0A821CBEEBB1,2,0
0A9737F93012,0,0
0AA2CC0ED760,1,0
0AA8E5C89F0F,0,1
0AB1AF1AE293,2,1
0ABAB1A72BD6,0,1
0ABE27218D9C,0,1
0AC49CE1A516,0,1
0AC92FABBDEF,0,0
0AD49DAA4C83,2,0
0AD69388300B,2,0
0ADBB145FC2C,1,1
0AE484ECECE6,0,1
0AE4F7182044,0,1
0AF19FB6EFB5,2,0
0AF71A83C114,0,1
0AF80C04491F,0,1
0AFAD06336F3,1,1
0B084590D876,2,0
0B0A72BE66A0,0,0
0B14040A5B27,0,1
0B1B9FA86199,1,1
0B1CD576E3E9,2,0
0B25AA5D6644,1,1
0B2C0C1833BF,0,0
0B3BA24EAF48,2,0
0B4FAC7A4A8B,0,1
0B59FE37329D,0,0
0B5BC07C6E03,2,1
0B5BFD4E5904,0,1
0B64C3347CCA,1,0
0B720B5EA0E9,1,0
0B7832DC2556,0,1
0B83D59D898C,0,0
0B858FF5C4C0,1,1
0B88C91C0403,0,0
0B8F67C0A3A1,2,1
0B994B3916FB,0,1
0B998187123D,1,0
0B9CE8AC36DD,2,0
0B9F19D6B713,0,0
0BA3163D4609,0,0
0BA416865EFD,1,1
0BA5506F91C5,0,1
0BA5EF441ADD,0,1
0BAA5F009116,1,1
0BAF08001514,0,1
0BB223A348F6,2,0
0BB4037BFB98,1,0
0BC016A285DC,0,0
0BC2CAE08FDF,1,1
0BC2D988CA5D,0,0
0BC531D9A1FD,2,1
0BCA18283DBE,1,1
0BCB61C92C49,0,0
0BCBCD2D4FEA,1,0
0BCF9505A354,0,0
0BDADA3AFF77,0,1
0BE21117EB3D,0,0
0BE6935B5A54,0,0
0BEB59F1FC9F,2,0
0BF56A2681D3,2,1
0BF6D9E2CAFF,0,0
0BF9E22B7981,2,0
0BFAE39E5020,2,0
0C02DB524F25,0,1
0C06B988433C,2,0
0C085229F46A,1,1
0C0DECDCFD52,0,0
0C1372F878A8,0,1
0C1A8B5D2903,0,0
0C1BFE5E9F69,0,1
0C216F2C365B,0,1
0C235A04EC44,0,1
0C25854E9900,0,1
0C2F4FE7BAB4,1,1
0C386AFA6EB4,1,0
0C3BBDB91972,2,0
0C40CA84544C,2,0
0C4ADE185903,0,1
0C5456B41BD0,0,1
0C57E7728900,1,1
0C636735B18E,0,0
0C636C7DADB4,0,1
0C67F1A5230C,0,0
0C699C871AA5,0,1
0C751C31DE85,0,0
0C7C06A6D656,0,0
0C80AA2C816D,0,0
0C82FD59BA0B,2,1
0C88519C4C03,0,0
0C9C3B277852,1,0
0C9DF15EB6EA,0,1
0CA02601D5C5,0,1
0CA6C4864708,0,1
0CAB1510D416,1,0
0CAC184297FF,0,0
0CAF8CEA967C,2,0
0CB2758A3289,0,1
0CB3A4D9ABF9,0,1
0CB3CA3672E2,0,0
0CB7BE27C466,1,1
0CC7CB437B4C,1,0
0CDA737BEA89,2,0
0CDCBCF07C6D,2,1
0CDCC84B9EA9,1,1
0CE2B34B05CB,2,1
0CE521F8D172,2,0
0CE6E6BF8EA4,0,1
0CF046E953FB,1,1
0CF568439ADB,0,0
0CF61A389E37,0,0
0CFDDC1CF75A,0,0
0D0BB94FCCFA,0,1
0D1493FDAAD3,0,1
0D18BDF22C59,2,0
0D1951E5DA3E,1,1
0D1B0AE68DC6,0,0
0D1CB28776D2,0,1
0D221F0798ED,0,1
0D27B2DDECF7,0,0
0D29A98FE8FB,1,0
0D32A07A3986,0,0
0D34832378C0,2,0
0D3737E9F443,1,1
0D57449ADB7E,0,1
0D6549D2F364,0,0
0D6A0F3CE1CD,2,0
0D6D92C4EAC4,0,1
0D6EAC137920,0,0
0D6F5D6E2E77,0,1
0D788E8BDADB,2,0
0D794A60E418,1,0
0D7E8A53C9B7,2,0
0D8035CE77E4,0,1
0D8E321A9415,1,1
0D9011021C2B,2,1
0D91FC8A9FE7,2,0
0D944DDF9492,2,1
0D983D66364A,0,0
0DA533FE0FB1,1,1
0DAD662B1782,2,0
0DB1509D2CDB,0,0
0DB1CE0764E9,2,0
0DB421BA1BFD,1,0
0DBDA28DA968,0,0
0DBEBB0EED72,0,0
0DC26D7994A7,2,0
0DC3194D5EDE,0,0
0DD088792AA7,0,0
0DD93F825FD7,1,1
0DE08F4053C5,1,1
0DE4BFD7B94A,0,1
0DE6D016C7FC,0,0
0DE6E95F6D77,2,1
0DE917C7C818,2,1
0DEA400FB9F8,2,0
0DEAB57A504B,0,1
0DEB291B21FA,0,1
0DF0F6199BD0,2,1
0DF2006FC8F1,0,0
0DF2DA5C58FA,2,0
0DF3E1BC7D04,1,0
0E07647BBC59,0,1
0E0ED6AD074D,2,0
0E1251EF8544,0,1
0E24F08F16D5,0,1
0E24F8C90CFB,0,1
0E3AC9BFA07C,2,0
0E40A58A09D7,2,0
0E5278E12B82,0,0
0E5434B8EA66,2,1
0E5BCFB10650,2,1
0E5FA083E123,2,0
0E6A84091310,0,1
0E6ADE74D132,2,1
0E6BB199BF93,0,1
0E6C3C2133C4,1,0
0E848AA38DB7,0,1
0E89829FDE70,1,0
0E8CB55193E3,0,1
0E8CBECB7CCB,0,1
0E976DD14859,2,0
0E9A166C4B67,2,0
0E9A98725D87,1,0
0E9E596A69D0,0,0
0EA2F253563A,2,0
0EA59AC549C4,0,0
0EA67D518E94,2,1
0EAB0E4FC56C,0,1
0EB16BF9C6D8,0,1
0EB3DD3D4789,0,0
0EB68912667C,2,1
0EBA0162ABBB,0,1
0EBE92AFBD97,0,1
0EC6CB60A702,0,0
0EDBF71D5CF6,1,1
0EE6F614F2F0,2,0
0EE9980F4C4B,2,1
0EF272634FEE,0,1
0EF652533E77,2,0
0EF6C038DD32,2,1
0EFDADD0CCD9,2,0
0F0813F0146A,0,1
0F13AFF35C0C,2,1
0F1439303944,0,0
0F14FEA19E2A,0,0
0F1830D67AF9,2,0
0F19DD8FEEDC,0,1
0F1A6DA7027E,2,0
0F1F7F935A01,1,0
0F2720F5FBED,2,1
0F2C1C946844,0,0
0F2D20318CBE,0,1
0F2D3B9FDD3A,1,0
0F2E9FA7DAF4,1,1
0F2FAAC3EEA0,0,0
0F3877B7D800,0,1
0F38D6102C2C,0,0
0F3BCECF9901,0,0
0F5247051127,0,1
0F571C3502D3,0,1
0F62638EB677,2,1
0F659402E51B,1,1
0F6E3C622E7F,0,0
0F71E5F49E17,2,0
0F757049FA41,0,0
0F7862191BC4,1,0
0F787DD4A61A,0,0
0F7934223515,2,1
0F7DB6BD1AD5,0,0
0F7FEA47FA3E,0,0
0F89C0EE8981,0,0
0F8D99B7AC0F,2,0
0F92CE19A137,0,0
0F9E444C9DF7,0,1
0FA1E3CA3D73,0,0
0FA7BA9A1FB9,0,1
0FAA6C7B06C2,0,0
0FB0700DAF44,1,1
0FBAD334BACA,2,0
0FC32E083BDE,2,0
0FC3D22B2DB8,0,0
0FC97658A027,0,0
0FD256479257,0,1
0FD27A7C4257,0,1
0FD5B95A957D,2,1
0FDA6AC79713,0,1
0FDEE427FD46,2,0
0FE04DC094ED,1,1
0FE3B7AAD133,1,1
0FE5C9C13E7A,0,1
0FE8DC0B8513,0,0
0FF049B01070,0,1
0FF781FB6050,0,1
0FFF13DC0B0C,1,1
1.02E+75,0,1
1.06395E+11,2,0
1.15E+48,1,1
1.32496E+11,0,1
1.61213E+11,1,1
1.67E+46,2,0
1000DD448EFE,0,0
10049349777A,1,1
1006FE578078,2,0
100AA438ECE8,0,1
10100E19E2C3,0,0
101256FB2FB2,0,1
1016199DA6FD,0,1
101C3E9B985D,2,1
10266FD6FA36,0,1
103CC3AA8F90,0,1
105A6ECC9A9E,0,0
105FBB463064,0,1
1067ADE80412,0,1
10738FAB1350,0,1
107F15C6D272,0,0
108363724F15,1,1
108C28958E5B,2,0
108CCC90A2FB,2,1
109421D070BF,0,0
1098BEDFB182,0,1
109A06A4FB60,0,1
10ABD322F49B,0,1
10ACBFAA9809,2,1
10B5AC99E165,1,0
10B79C092DE1,0,0
10C813389A74,0,1
10CE47991891,2,0
10D09AB4D6C7,2,1
10D1D5724C4A,0,1
10D7845FC5D4,0,0
10E1C7EDACB8,0,1
10E592ECBDB0,1,0
10E71B56EBDE,0,1
10E73EB00BA8,2,1
10E7A0414D14,0,1
10F4C4CDB76D,0,0
10F4FEDEF052,2,0
11040FD6C88D,1,0
110CB433ACF7,1,1
1111D5CDB343,0,1
11168209A49C,0,0
111E90E1DB45,0,1
1125B1716D5E,0,1
1129201DC11C,0,0
112AA24D20BC,1,0
112ACF74B759,0,0
112B1760D112,1,0
112ECA514F8B,2,0
1135CD7FBE4F,0,1
1136D95D28E7,0,1
11393B68F12C,2,1
113942A18C27,0,0
115972ADCF50,0,1
1160237A1858,0,0
116209F5E812,1,1
11647A73E2B9,2,0
116A50DF4ADF,0,0
116D6C03549A,0,0
116ED6BCEA4E,0,0
1173D7C535A3,0,0
1175204C51AF,0,1
117FFA9B4B12,2,0
11854A885ED6,2,1
11862ECFA000,1,1
118C90DCC636,1,0
118E2E7C9C73,2,1
11A48AF9668D,0,0
11A680B3FB42,1,1
11B659A6D867,0,1
11BEB30F68EA,0,0
11C0555D3ACA,0,0
11C0D83F479E,0,0
11C1833E04B6,0,0
11C658295AC7,0,0
11CE345BAEF2,0,1
11D36CD1AC96,2,1
11DD0B26B584,0,0
11DE2050A727,2,0
11DF8476ED7F,1,0
11E1C6E089DF,0,0
11E3D2D8C85E,1,0
11F106935EDA,0,1
11F14A342E56,0,0
11F43325A858,2,1
11FCFBA42882,0,1
120174AE39B7,0,1
120AEADB58BC,1,1
12118E6058A7,0,0
12135DEF3C3F,0,0
12156BA6D875,0,0
121AAD6AE49F,2,0
1226089D55CC,1,0
123722DA6464,0,0
123BBF5BAAED,0,0
124750B04447,0,1
1249AFEBB95D,1,1
124C24EE768C,0,0
124E04CB45B8,2,0
124EDC15E692,2,0
12660C832798,0,1
126747A179A8,1,1
1269B4FB7E6B,0,0
126AB089D089,0,0
1271164467DA,0,0
127670CABA7C,0,1
12796C5A0480,2,1
127A60BC4DF2,0,1
127C44A70BAC,0,1
1284A423E338,0,0
1287FB93CF6F,2,0
129391F5ECBF,0,1
1294A6CEEAC5,0,0
1295E8C0327F,0,0
12988594D953,2,0
129C5DED720B,0,0
129E8C26C10D,0,0
12A49BF3B556,0,1
12AAF9C7C266,0,0
12BA7182FFC7,0,1
12BCA50767E9,0,0
12BE2367222D,0,0
12C40C11C57C,0,0
12C4FDD062F3,0,1
12C580353B69,2,1
12C8DD7C074E,2,1
12CB536B6C39,1,0
12D86A369DBE,0,1
12E283B3F303,0,1
12F2A2D4AB24,0,1
12F3403879BF,0,0
12FEB57ECB4E,2,0
1300228ADAC3,0,1
1300CBEB1F39,2,0
1306DBD7573C,2,0
1308F5C3347E,2,1
130F9B6DCCF9,0,0
1313ADFE62C6,0,1
131D4EC3D03F,2,0
131DA85211F7,1,1
13224DF00A6A,2,1
13233FB0483F,0,1
13294E9A7CA1,0,0
13299580C8AD,0,1
133BA823C9DC,0,1
133BF9052FCA,1,0
133DA8BD32F9,0,1
13426BBB0EC2,0,1
13457D2F2557,2,0
13481B549329,1,1
13493E22AB5A,0,0
134BAA2D43CF,1,1
13502C406F65,0,0
13556F3D510C,2,0
1359D3CCD936,2,0
135F922187BC,1,0
1360BDCC0176,0,0
1365F7051B17,0,1
136B9BDB53E0,1,0
1377A50485F1,2,1
137BAE6EAA41,2,1
1385E7A90736,2,1
138BB07570E0,0,1
138F86B73F7D,0,0
13989868021A,1,1
139E760C6DEE,0,0
139FC472EA3E,2,1
13A30C894FAD,0,0
13A4CE233CDA,0,1
13AAAD860217,0,0
13AF1E268C99,2,0
13B3514D9E55,1,1
13B7179EB6D3,2,0
13B7ABDC0051,2,0
13B841D2BC21,0,1
13BC8BC3654E,0,0
13BD2F675384,0,1
13C271A7BB26,2,0
13CB8629B839,0,1
13CFDB110C7C,1,1
13D055D4F041,0,1
13D62898496F,2,1
13E62C937FCA,0,0
13E733243771,2,0
13F1DF1DB4DE,1,0
13F4CEEDDCBD,0,0
13FDCF58A955,0,0
14044A2FF1FC,0,0
1405831818EE,2,1
140781159BAD,2,1
14097CCF4030,0,1
14107BE4409C,0,1
14122B906E30,0,0
14125B6C50B8,2,0
1417CDA8D493,1,1
141A60AB7B0D,1,0
141CC621E949,0,0
1424DEF8AEA5,0,0
142BF0B5376A,2,1
143449132EAF,0,1
1437601709BB,0,0
143881605B57,1,0
14409A305AB3,0,1
1440BFF921C4,0,1
1445C99DF53B,0,1
1449A333A335,2,0
14542AA79AA4,0,0
1461C0EEEE77,0,0
1463D1D9EC8F,0,1
146440EF28B8,0,1
146818D2FAF1,2,1
1469BBBDF3ED,1,0
146D260F5526,2,1
1484F69AB31E,2,1
1495BAF55143,0,0
149CECF2426C,2,1
149E8C278863,0,1
14C42742BD87,0,1
14CB51AFA416,0,1
14CBCA18C124,0,1
14CC75D0E9D0,0,1
14CD7481EF35,2,1
14D4B556B3A2,1,0
14D67698786D,0,0
14D6911BF51D,0,1
14DBFF7A7AD3,2,0
14DC8313ACDD,0,0
14DF107E8ADD,0,0
14E573422FEA,2,0
14E83FCCC2AF,1,0
14EA20764FD8,2,1
14EE006078C4,1,1
14F0D1DFE3B1,0,1
14F754342EA0,2,1
1509D8D81A10,0,1
150C879555C6,1,1
151645FFA225,2,1
151B0CD2ACE4,1,0
1523EEF201C4,0,0
15260AF98824,0,1
1529F615275D,0,0
152A4E283823,0,0
1536D4AC6501,0,0
153972503B34,0,1
15398FCF1379,0,0
1546CF3CFEEF,0,1
154DA8FC14D7,2,0
1553852F57B7,2,0
1556FDEA70E3,0,0
155918C91905,0,0
155CAAB3DC95,0,0
1566C25438D4,2,0
156E24130528,2,0
15710AAE17FA,0,1
158096ED2561,0,0
158EDBD5EC25,0,0
1590FD8BEA8E,2,1
15912A718F26,1,0
159424F57C24,0,0
1596E1BA9983,0,0
159B993974F6,2,1
159C888039CA,2,0
159CB166349B,1,0
159D4CDA17B0,0,1
15B1386353B7,1,0
15B6AD38663B,1,1
15B8ED0E3817,0,1
15BDCD238E51,0,0
15C0E61BC1E5,2,1
15D2FF172210,2,0
15D3501518B0,0,1
15D68BD247CD,2,1
15DB03CB7A98,0,1
15DB2779EC7A,1,1
15E235D694BE,2,0
15E317EDD7A0,2,1
15E93D248649,0,1
15EAD0CC9F3D,2,1
15F20233CFA6,2,1
15F434699355,1,0
15F52C3B4580,2,1
15FD5B635B50,2,0
160060CC2418,2,0
16030592A7B7,0,0
160942A326B8,1,1
160B02D673E9,0,1
160C1321A536,2,0
160C8B8C0E64,0,1
160D4AE46A61,1,1
16206760663F,0,0
16255EBBB49B,2,0
1626F27A828F,0,1
16271A900F31,0,1
163AC455E1DF,0,0
16482660AC91,0,0
1649A2246587,0,1
164E8B76D5D4,2,1
1655FBD1D22A,0,0
165BE1E22902,0,0
1669F1CC90D9,0,0
166A1383A90C,2,1
166AA098DBBB,1,0
166B8C946173,0,1
166CE6EE73AE,0,0
16759AEA250C,0,1
16760A114ACB,2,0
167AE151377D,0,1
167C0474C7F6,1,1
1681878C051A,0,1
1684BE6E2D54,0,0
168890CF840E,1,1
168E5BD0AECE,0,0
168FBD2247BA,2,1
169CCAB1500F,0,1
16A19F37921F,1,1
16A2070EB15F,1,1
16A44AFEC63B,0,0
16A92F43071D,2,0
16AFB1342251,1,1
16B7CA362E71,2,0
16BC80DFCF74,0,1
16C808F5F642,2,0
16D1DCBC366E,0,0
16D2B327B978,2,0
16D3EFBE11FD,1,1
16DE10816A76,0,0
16DEF72E220A,0,0
16E17D54523A,0,0
16E4FB7A2BAF,0,1
16F34D94DC83,2,0
16F6DD028926,2,0
16F9A11EE38E,0,0
170444AD3129,2,1
17050101B707,1,0
1706A44CC656,1,1
17095E50E21A,2,1
170E5EDC8024,0,0
1712A40F635E,0,0
171E655CC8F1,0,0
17249776EA6D,0,0
172A3013AF1B,1,1
172DCAD4E21A,2,1
172F67E7FBBC,0,1
1734511166A2,1,0
173C9B92AEB0,0,0
173DB7DA3CE3,0,1
17643FC4CA90,2,0
