essay_id_comp,n_effectiveness_elements,quality_index
0416D5BC09FB,12,1.0
041FABDBF592,8,1.0
0426BE0F775E,11,1.181818
042F1ABC1DC7,5,1.0
04326B0CA099,9,0.888889
0433D61E8652,7,1.0
043CEF390B3E,12,1.0
044C80B2A55A,9,1.222222
044D921A8C99,12,1.25
045020BFAD75,14,1.0
0459F1BBF74A,6,1.0
0459FB59CBA7,9,1.111111
045C51AB37B3,6,0.666667
045C9829A0F9,12,1.166667
046A86DE2898,12,1.166667
046C6FB91CBA,10,1.1
047BD3CB80B4,10,1.0
04810832D23A,8,1.0
0483125DCD62,12,1.0
048CE592752A,11,0.909091
04906D555188,9,1.0
0496DBA378FB,10,1.4
049E10369FBA,9,1.555556
04A018921C58,12,1.333333
04A24D0BAB28,9,0.777778
04A7E6D80ADD,9,1.111111
04AAE2E8EFB4,6,1.0
04ACA7EB3994,13,1.153846
04AF157D14EA,12,1.416667
04B5CE4CBF61,9,1.777778
04B6F07AC0EC,9,1.111111
04B9D7851CAC,9,1.0
04BC78F95F4A,14,1.357143
04BF8771ADA6,11,1.0
04C46E44F660,5,1.0
04C4DFEECF27,15,1.0
04C632140E83,6,0.833333
04D10F678D31,8,1.0
04D4F9F350F6,8,0.875
04D653441263,15,1.866667
04D8A1F09465,4,1.0
04E2B40088AB,9,1.222222
04F17031683C,3,1.0
04F4F6D2ABE2,9,1.0
05011EB91BCE,7,1.0
0504EEB01AD9,7,1.0
0507DAFBE89D,10,2.0
050AB114EBE2,7,1.0
050ABE0F7EDA,11,1.0
050EC6489A64,11,1.0
05101578DCA8,9,1.0
05118F820085,10,1.0
051C3A22AEE0,9,0.888889
051F7768F76D,8,1.5
05273EE0A28A,11,1.090909
0527DB04DCC0,11,2.0
052BF542A50F,8,1.0
052F182ACD73,6,1.0
053ACB9DFE74,8,1.0
05452D9728B2,8,1.25
054C082D0304,16,1.375
054D758A0DD0,7,1.285714
05512D7C6578,7,1.142857
05528E85EA1B,5,1.0
0552EE171A0A,10,1.0
0555B97EB61C,12,1.333333
0563F089C239,9,1.0
058675A4D020,8,1.0
058BD5D122D1,9,1.0
058CA87825F6,10,1.2
059DFFE3A3A9,14,1.0
05A0DA9580E5,7,1.0
05A2C2BB8082,8,1.0
05A474FBA68F,5,1.0
05A6C6DF86A9,12,1.833333
05B414601770,10,1.4
05B970A2AA96,6,1.0
05BA34E2D72A,19,0.947368
05C19B6DF445,7,1.0
05C28F111573,13,1.692308
05C8C18D341B,7,1.714286
05CE48E8193E,12,1.25
05D237F606EA,12,1.0
05D639BB0AB4,8,1.0
05D84C1F29D4,9,1.0
05DF38C35D1D,12,1.083333
05E4FBBF2E50,6,1.0
05E95229344B,10,0.9
05EC08C05019,9,1.0
05EF8571B859,9,1.444444
05F30981F3EB,15,1.2
05F3A442CAE3,21,1.952381
05F76135BBE1,12,1.083333
05F87BEFBD79,11,1.181818
05F9DC51226B,11,1.090909
05FB627DCA52,8,1.0
05FFBFA9B3BA,6,1.0
06082EEC2458,9,1.222222
0610C8536282,8,1.375
0611BEFA3685,9,1.111111
062C24EF834D,3,1.333333
06348D6E4080,11,1.0
063D5478D82F,7,1.0
0640FE8DF9D6,10,1.7
06462BAC62B2,5,0.8
0647269B45A1,8,1.0
064E497ED786,8,1.0
0652A1415220,7,1.0
06544C8704C4,8,1.0
06592F816295,21,0.904762
0664B75B49BA,7,1.142857
06699F123D6B,11,1.090909
066B1D7C9214,12,1.0
066BF70B8B98,9,0.888889
066F06E5E52C,12,1.083333
067194796AD7,8,1.75
0679BAADD10C,5,1.2
067A65349063,3,1.0
06814DF362D6,12,1.0
0684F83533CE,12,1.25
068B2C038555,9,1.0
068EECC9A878,13,1.230769
068F206FE4F8,7,1.0
06936C8AA35D,9,1.666667
0699B4A08981,12,1.166667
069EFABE5A55,12,1.0
06A22B3B4BD9,5,1.0
06A9B4BC2E90,12,1.083333
06ADDCC67A61,9,1.333333
06B1E9A43C96,11,1.545455
06BC6DAE198F,9,1.111111
06C145EE7C45,7,1.571429
06C88B7A0E1D,11,1.272727
06CDC40C681B,10,1.4
06DAD53DA2B9,12,1.0
06DC11A94052,14,1.142857
06DD81D3CF74,8,1.0
06DDAA4EB60C,10,1.0
06E3595C94BF,7,1.0
06E490F2538D,12,1.666667
06E8CF6B7DD0,7,0.714286
06EC785D1238,9,1.0
06F37AF3F52A,8,1.0
06F5F6A09DC6,9,1.0
070148989D83,12,1.5
070413F48F80,7,1.0
0713804A7926,12,1.083333
071BF63AF332,11,1.636364
071E1B145717,10,1.0
071FB27E532B,3,0.0
0726FFE208DE,11,1.0
0730ACD2E23E,9,1.222222
07348A4B6E9C,12,1.25
07397A3E9D8D,11,1.636364
073F001C3DAB,15,1.533333
07414A338814,13,1.0
0741F0C1D776,17,1.647059
07555937FA5D,14,1.0
0756FE811833,11,0.818182
075952A15F65,12,1.25
075ACD93F7FA,9,0.888889
076391C8B532,9,1.111111
076C80C8D6FD,6,1.166667
076D21D61C04,8,1.25
076DBAE9AA98,11,1.181818
076FE42102A1,7,0.714286
077B2A708101,13,1.153846
077CBD1D991B,9,1.222222
0780999D8532,16,1.0
07881BC0DDB9,11,1.0
078FCB89177B,9,1.444444
07970BC175FC,8,1.0
0797349D7D61,6,1.0
079FDB42E429,9,1.111111
07A023BE2629,12,1.833333
07A88E52FC70,10,1.3
07AB5218B889,11,1.272727
07BDA9A96A77,11,1.090909
07C3B59F13B0,11,1.090909
07C49C9E6178,14,1.5
07C6BB6ADA38,12,1.083333
07C7A31386A0,7,1.142857
07CC30055043,6,1.0
07CE3E0B4129,7,0.714286
07CF059A90F6,14,1.714286
07D52443B420,11,1.454545
07DD81C2D396,6,1.0
07DEAD316EFB,10,1.4
07E3AD494BC0,12,1.083333
07E503B34962,7,0.857143
07E9F8609AC6,8,1.0
07EA2B30D5B6,7,0.571429
0802AEA16E9F,7,1.142857
080E2CA04B67,16,1.375
080EC4BBF650,7,1.714286
0814426B27DF,12,1.0
081C66256B98,11,1.090909
081F2D862A89,8,1.25
0825571D1A47,11,1.727273
082598CC8955,4,0.75
082E19093947,13,0.846154
083555B77983,10,1.0
0839B4ACC2AF,9,1.888889
0843E8886EC2,12,1.083333
08479124D1C4,6,1.0
08482C3DA43A,8,1.0
084898C37A44,9,1.0
084A87B3B853,9,1.0
084B9E2AD4AC,6,0.833333
08530C01BCFB,9,1.0
08584DAB22EB,6,1.0
085AF5011C2E,4,1.0
086603D5B319,12,1.0
086D6343AB33,7,1.0
0872DEBC7F18,10,1.1
087B943BBF9C,8,1.0
087E56206FE1,9,1.222222
087F3F05712B,4,1.0
08855915B1F3,5,1.0
0886711ECD4E,12,1.083333
088C5E1694FB,4,1.0
088CB85E5B7A,14,1.285714
088FCB397B74,3,1.0
08904A41504E,8,1.0
0891D4A76005,4,1.0
089CDCA504A1,12,1.0
089DE1EB8CAF,7,1.571429
089F4D797A5E,9,1.111111
08A03F44195D,7,1.0
08A9CC07474D,13,1.076923
08B72DCFD859,12,1.083333
08B9D254FD4C,6,1.0
08BFFA9AD871,9,1.0
08C05F2480E4,13,1.0
08C34A980940,8,1.5
08CE03D82736,18,1.166667
08D32CC20CAD,6,1.0
08D518B80ED0,12,1.0
08D6D5B01824,5,1.2
08D8F3EF3B08,4,1.0
08F8BF983C64,11,1.272727
08FAE6E0BDCC,8,1.0
08FBED9A66DA,12,1.0
08FC0154E0EF,12,0.916667
09035E72A3AE,7,0.857143
0910E011143F,7,0.857143
091522181D61,16,1.0
093403D63CA6,8,0.875
093BD0824B7E,10,1.8
093F76C75A93,9,1.444444
0949D328CAC8,8,1.0
09537221A5ED,9,1.777778
095595DDF4AC,7,1.0
0959BDBD0FB4,9,1.888889
095D057ACAD7,8,1.0
095F6D0A8377,9,1.0
09618943A295,12,1.333333
09621E6AE55D,11,1.181818
0971823179F9,7,1.142857
09770DECD26C,9,0.888889
097BDC9D09D2,7,1.0
097FE8053507,7,0.857143
0982C9F47D30,9,1.0
0982DD0EB8E5,9,1.0
0982F748C034,10,1.3
0985602832CD,4,1.0
098FA5D40CF6,12,1.0
09935EBDBB7C,14,1.142857
099764B21768,10,1.6
099773A903CD,9,1.222222
09978094D17C,6,1.0
09A5C0911124,10,1.1
09AA28BBE192,5,1.2
09AA7375FE64,10,1.4
09ABE1DE8537,12,1.166667
09ADB0629CD0,12,1.0
09AE5FE4E4D9,12,1.0
09C0C3EFC66E,5,1.0
09C47605F3D6,8,1.0
09C8F49982B9,9,1.0
09CC8EB90437,7,0.857143
09E2F282EC82,12,1.166667
09ECF76CBD3C,10,1.0
09F032EC5F21,8,1.5
09F1FC4F0F47,4,1.0
09F294EFAFC2,12,1.333333
0A082DA0A890,9,1.111111
0A0B289272ED,17,1.764706
0A23334002E0,8,1.125
0A259B8AA9B2,13,1.076923
0A273CDFC416,10,1.4
0A2A6855DE4F,11,1.454545
0A2EE9B6BF75,12,1.416667
0A373C01EAD7,8,1.0
0A3818A64CF5,8,1.0
0A43A08B43DA,18,1.0
0A4A60D36D7F,5,1.2
0A5299390319,12,1.0
0A57811CB8A2,9,1.0
0A591A9C5A7F,9,1.0
0A5B8761B187,5,0.4
0A5BA91AA8B5,8,0.875
0A5FBB44DC50,11,1.090909
0A6324CE9AD0,12,1.083333
0A66AD23400E,9,1.111111
0A67029FA17C,12,1.25
0A6BC5C6C8D3,10,1.5
0A6C0B6D3925,9,0.888889
0A7A8F866208,10,0.9
0A7EE102DFCB,12,1.0
0A821CBEEBB1,10,1.3
0A9737F93012,12,0.833333
0AA2CC0ED760,12,1.083333
0AA8E5C89F0F,5,1.0
0AB1AF1AE293,12,1.333333
0ABAB1A72BD6,7,1.0
0ABE27218D9C,11,1.0
0AC49CE1A516,13,1.0
0AC92FABBDEF,9,1.0
0AD49DAA4C83,9,1.111111
0AD69388300B,12,1.166667
0ADBB145FC2C,6,1.0
0AE484ECECE6,11,1.0
0AE4F7182044,7,0.857143
0AF19FB6EFB5,9,1.111111
0AF71A83C114,6,0.5
0AF80C04491F,4,0.25
0AFAD06336F3,12,1.25
0B084590D876,7,1.285714
0B0A72BE66A0,8,0.875
0B14040A5B27,12,1.0
0B1B9FA86199,8,1.0
0B1CD576E3E9,10,1.4
0B25AA5D6644,12,1.25
0B2C0C1833BF,7,0.714286
0B3BA24EAF48,9,1.333333
0B4FAC7A4A8B,6,0.666667
0B59FE37329D,5,1.0
0B5BC07C6E03,9,1.111111
0B5BFD4E5904,6,0.833333
0B64C3347CCA,7,1.142857
0B720B5EA0E9,14,1.071429
0B7832DC2556,8,1.0
0B83D59D898C,6,1.0
0B858FF5C4C0,6,1.166667
0B88C91C0403,13,1.153846
0B8F67C0A3A1,7,1.142857
0B994B3916FB,19,1.263158
0B998187123D,9,1.111111
0B9CE8AC36DD,13,1.153846
0B9F19D6B713,7,1.0
0BA3163D4609,11,0.818182
0BA416865EFD,8,1.375
0BA5506F91C5,14,1.0
0BA5EF441ADD,12,0.916667
0BAA5F009116,16,1.0625
0BAF08001514,7,0.857143
0BB223A348F6,9,1.666667
0BB4037BFB98,12,1.25
0BC016A285DC,6,0.833333
0BC2CAE08FDF,9,1.111111
0BC2D988CA5D,8,0.875
0BC531D9A1FD,8,1.5
0BCA18283DBE,11,1.363636
0BCB61C92C49,9,1.0
0BCBCD2D4FEA,11,1.272727
0BCF9505A354,10,1.0
0BDADA3AFF77,7,0.714286
0BE21117EB3D,6,1.0
0BE6935B5A54,8,1.0
0BEB59F1FC9F,11,1.363636
0BF56A2681D3,6,1.166667
0BF6D9E2CAFF,10,1.0
0BF9E22B7981,10,1.6
0BFAE39E5020,9,1.555556
0C02DB524F25,18,1.0
0C06B988433C,12,1.75
0C085229F46A,11,1.272727
0C0DECDCFD52,10,1.0
0C1372F878A8,7,1.0
0C1A8B5D2903,9,1.0
0C1BFE5E9F69,11,0.909091
0C216F2C365B,7,1.0
0C235A04EC44,10,1.0
0C25854E9900,12,1.166667
0C2F4FE7BAB4,14,1.428571
0C386AFA6EB4,8,1.0
0C3BBDB91972,10,1.6
0C40CA84544C,8,1.375
0C4ADE185903,7,1.0
0C5456B41BD0,6,1.0
0C57E7728900,11,1.090909
0C636735B18E,13,0.923077
0C636C7DADB4,12,1.166667
0C67F1A5230C,7,1.285714
0C699C871AA5,12,1.0
0C751C31DE85,9,0.888889
0C7C06A6D656,7,1.0
0C80AA2C816D,5,1.0
0C82FD59BA0B,14,1.857143
0C88519C4C03,7,1.0
0C9C3B277852,9,1.444444
0C9DF15EB6EA,15,0.933333
0CA02601D5C5,12,1.166667
0CA6C4864708,9,1.0
0CAB1510D416,9,1.333333
0CAC184297FF,9,0.888889
0CAF8CEA967C,9,1.444444
0CB2758A3289,11,1.0
0CB3A4D9ABF9,12,1.166667
0CB3CA3672E2,8,1.0
0CB7BE27C466,4,1.0
0CC7CB437B4C,7,1.428571
0CDA737BEA89,7,1.428571
0CDCBCF07C6D,7,1.571429
0CDCC84B9EA9,11,1.090909
0CE2B34B05CB,6,1.166667
0CE521F8D172,7,1.714286
0CE6E6BF8EA4,9,1.0
0CF046E953FB,10,1.2
0CF568439ADB,9,1.0
0CF61A389E37,14,1.0
0CFDDC1CF75A,12,0.833333
0D0BB94FCCFA,13,1.0
0D1493FDAAD3,9,1.0
0D18BDF22C59,10,1.8
0D1951E5DA3E,11,1.090909
0D1B0AE68DC6,11,1.090909
0D1CB28776D2,14,0.928571
0D221F0798ED,8,1.0
0D27B2DDECF7,10,1.0
0D29A98FE8FB,9,1.333333
0D32A07A3986,10,0.8
0D34832378C0,6,1.0
0D3737E9F443,11,1.363636
0D57449ADB7E,7,1.0
0D6549D2F364,9,0.888889
0D6A0F3CE1CD,9,1.555556
0D6D92C4EAC4,8,1.0
0D6EAC137920,12,1.0
0D6F5D6E2E77,12,0.916667
0D788E8BDADB,5,1.6
0D794A60E418,11,1.272727
0D7E8A53C9B7,10,1.2
0D8035CE77E4,10,1.0
0D8E321A9415,11,1.090909
0D9011021C2B,9,1.222222
0D91FC8A9FE7,10,1.8
0D944DDF9492,12,1.25
0D983D66364A,11,1.0
0DA533FE0FB1,14,1.214286
0DAD662B1782,7,1.142857
0DB1509D2CDB,7,1.0
0DB1CE0764E9,9,1.222222
0DB421BA1BFD,15,1.533333
0DBDA28DA968,7,1.0
0DBEBB0EED72,6,0.833333
0DC26D7994A7,4,1.25
0DC3194D5EDE,9,1.0
0DD088792AA7,9,1.0
0DD93F825FD7,14,1.5
0DE08F4053C5,9,1.111111
0DE4BFD7B94A,12,1.0
0DE6D016C7FC,9,1.0
0DE6E95F6D77,3,1.333333
0DE917C7C818,11,1.181818
0DEA400FB9F8,11,1.363636
0DEAB57A504B,11,1.0
0DEB291B21FA,4,1.0
0DF0F6199BD0,16,1.625
0DF2006FC8F1,5,1.0
0DF2DA5C58FA,13,1.307692
0DF3E1BC7D04,9,1.111111
0E07647BBC59,13,1.0
0E0ED6AD074D,8,1.125
0E1251EF8544,9,1.0
0E24F08F16D5,11,1.0
0E24F8C90CFB,14,1.0
0E3AC9BFA07C,10,1.6
0E40A58A09D7,8,1.25
0E5278E12B82,7,1.0
0E5434B8EA66,12,1.75
0E5BCFB10650,14,1.785714
0E5FA083E123,11,1.272727
0E6A84091310,6,1.0
0E6ADE74D132,11,1.181818
0E6BB199BF93,8,0.875
0E6C3C2133C4,8,1.125
0E848AA38DB7,5,0.8
0E89829FDE70,11,1.363636
0E8CB55193E3,9,1.0
0E8CBECB7CCB,12,1.0
0E976DD14859,9,1.111111
0E9A166C4B67,4,1.5
0E9A98725D87,7,1.142857
0E9E596A69D0,13,1.230769
0EA2F253563A,7,1.428571
0EA59AC549C4,7,0.857143
0EA67D518E94,9,1.333333
0EAB0E4FC56C,12,1.0
0EB16BF9C6D8,12,1.0
0EB3DD3D4789,9,1.0
0EB68912667C,8,1.25
0EBA0162ABBB,12,1.0
0EBE92AFBD97,7,1.0
0EC6CB60A702,9,1.0
0EDBF71D5CF6,11,0.909091
0EE6F614F2F0,7,1.285714
0EE9980F4C4B,7,1.571429
0EF272634FEE,8,1.0
0EF652533E77,9,1.333333
0EF6C038DD32,9,1.333333
0EFDADD0CCD9,8,1.625
0F0813F0146A,13,1.0
0F13AFF35C0C,8,1.625
0F1439303944,11,1.0
0F14FEA19E2A,14,1.0
0F1830D67AF9,11,1.545455
0F19DD8FEEDC,8,1.0
0F1A6DA7027E,10,1.3
0F1F7F935A01,11,1.090909
0F2720F5FBED,9,1.555556
0F2C1C946844,8,1.0
0F2D20318CBE,15,1.0
0F2D3B9FDD3A,7,1.285714
0F2E9FA7DAF4,10,1.2
0F2FAAC3EEA0,11,1.0
0F3877B7D800,12,1.0
0F38D6102C2C,11,1.0
0F3BCECF9901,12,1.0
0F5247051127,9,1.0
0F571C3502D3,10,1.0
0F62638EB677,12,1.666667
0F659402E51B,12,1.416667
0F6E3C622E7F,12,0.916667
0F71E5F49E17,10,1.3
0F757049FA41,5,1.0
0F7862191BC4,14,1.214286
0F787DD4A61A,10,1.0
0F7934223515,10,1.9
0F7DB6BD1AD5,12,1.0
0F7FEA47FA3E,9,0.888889
0F89C0EE8981,8,1.0
0F8D99B7AC0F,5,1.8
0F92CE19A137,9,1.0
0F9E444C9DF7,9,1.0
0FA1E3CA3D73,9,1.0
0FA7BA9A1FB9,10,1.0
0FAA6C7B06C2,10,1.0
0FB0700DAF44,9,1.222222
0FBAD334BACA,9,1.111111
0FC32E083BDE,12,1.25
0FC3D22B2DB8,11,1.0
0FC97658A027,6,0.833333
0FD256479257,7,1.0
0FD27A7C4257,15,1.0
0FD5B95A957D,14,1.642857
0FDA6AC79713,12,1.0
0FDEE427FD46,6,1.166667
0FE04DC094ED,10,1.1
0FE3B7AAD133,13,1.153846
0FE5C9C13E7A,10,1.0
0FE8DC0B8513,5,1.0
0FF049B01070,7,1.0
0FF781FB6050,8,1.0
0FFF13DC0B0C,13,1.384615
1.02E+75,11,0.545455
1.06395E+11,13,1.846154
1.15E+48,10,1.1
1.32496E+11,9,1.0
1.61213E+11,13,1.384615
1.67E+46,7,1.571429
1000DD448EFE,8,0.75
10049349777A,15,1.466667
1006FE578078,9,1.666667
100AA438ECE8,14,0.928571
10100E19E2C3,7,0.857143
101256FB2FB2,12,1.0
1016199DA6FD,16,1.375
101C3E9B985D,9,1.333333
10266FD6FA36,2,0.5
103CC3AA8F90,6,1.0
105A6ECC9A9E,7,1.0
105FBB463064,6,0.833333
1067ADE80412,12,1.0
10738FAB1350,13,1.0
107F15C6D272,13,1.0
108363724F15,8,1.25
108C28958E5B,8,1.625
108CCC90A2FB,13,1.307692
109421D070BF,9,1.0
1098BEDFB182,7,1.0
109A06A4FB60,10,1.0
10ABD322F49B,11,1.090909
10ACBFAA9809,12,1.583333
10B5AC99E165,13,1.384615
10B79C092DE1,8,1.0
10C813389A74,6,1.0
10CE47991891,8,1.5
10D09AB4D6C7,9,1.777778
10D1D5724C4A,16,0.9375
10D7845FC5D4,8,1.0
10E1C7EDACB8,7,1.0
10E592ECBDB0,11,1.090909
10E71B56EBDE,12,1.0
10E73EB00BA8,6,1.5
10E7A0414D14,14,0.857143
10F4C4CDB76D,12,1.0
10F4FEDEF052,15,1.733333
11040FD6C88D,14,1.5
110CB433ACF7,6,1.0
1111D5CDB343,14,1.0
11168209A49C,8,0.625
111E90E1DB45,10,1.0
1125B1716D5E,10,0.9
1129201DC11C,10,1.1
112AA24D20BC,10,1.1
112ACF74B759,9,1.0
112B1760D112,12,1.416667
112ECA514F8B,6,1.166667
1135CD7FBE4F,12,1.0
1136D95D28E7,14,0.857143
11393B68F12C,11,1.272727
113942A18C27,6,1.0
115972ADCF50,4,1.0
1160237A1858,6,0.833333
116209F5E812,6,1.0
11647A73E2B9,9,1.777778
116A50DF4ADF,5,1.0
116D6C03549A,13,1.0
116ED6BCEA4E,9,0.777778
1173D7C535A3,9,1.0
1175204C51AF,12,1.166667
117FFA9B4B12,8,1.625
11854A885ED6,15,1.333333
11862ECFA000,10,1.2
118C90DCC636,12,1.333333
118E2E7C9C73,12,1.666667
11A48AF9668D,2,1.0
11A680B3FB42,7,1.142857
11B659A6D867,16,1.25
11BEB30F68EA,7,1.0
11C0555D3ACA,13,1.0
11C0D83F479E,10,0.9
11C1833E04B6,11,1.0
11C658295AC7,10,1.0
11CE345BAEF2,7,1.0
11D36CD1AC96,10,1.5
11DD0B26B584,11,1.0
11DE2050A727,9,1.111111
11DF8476ED7F,11,1.181818
11E1C6E089DF,10,1.0
11E3D2D8C85E,15,1.4
11F106935EDA,14,1.0
11F14A342E56,7,1.0
11F43325A858,4,1.25
11FCFBA42882,11,1.0
120174AE39B7,10,1.0
120AEADB58BC,12,1.25
12118E6058A7,8,0.875
12135DEF3C3F,7,0.857143
12156BA6D875,10,1.0
121AAD6AE49F,8,1.125
1226089D55CC,12,1.416667
123722DA6464,6,1.0
123BBF5BAAED,13,1.0
124750B04447,7,1.0
1249AFEBB95D,8,1.125
124C24EE768C,9,1.0
124E04CB45B8,16,1.75
124EDC15E692,9,1.111111
12660C832798,11,1.0
126747A179A8,12,1.083333
1269B4FB7E6B,6,1.0
126AB089D089,12,1.166667
1271164467DA,14,1.214286
127670CABA7C,5,0.8
12796C5A0480,7,1.0
127A60BC4DF2,13,1.0
127C44A70BAC,13,1.0
1284A423E338,6,1.0
1287FB93CF6F,10,1.6
129391F5ECBF,13,1.0
1294A6CEEAC5,9,0.888889
1295E8C0327F,8,1.0
12988594D953,12,2.0
129C5DED720B,12,1.166667
129E8C26C10D,6,1.0
12A49BF3B556,9,0.888889
12AAF9C7C266,8,1.0
12BA7182FFC7,8,1.0
12BCA50767E9,16,1.25
12BE2367222D,14,1.0
12C40C11C57C,8,1.0
12C4FDD062F3,15,0.866667
12C580353B69,7,1.142857
12C8DD7C074E,5,1.2
12CB536B6C39,11,1.181818
12D86A369DBE,9,1.0
12E283B3F303,10,1.0
12F2A2D4AB24,9,1.0
12F3403879BF,4,1.0
12FEB57ECB4E,10,1.4
1300228ADAC3,6,0.666667
1300CBEB1F39,9,1.666667
1306DBD7573C,15,1.333333
1308F5C3347E,11,1.363636
130F9B6DCCF9,12,1.166667
1313ADFE62C6,11,1.272727
131D4EC3D03F,9,1.222222
131DA85211F7,9,1.111111
13224DF00A6A,12,2.0
13233FB0483F,12,1.0
13294E9A7CA1,7,1.0
13299580C8AD,9,1.0
133BA823C9DC,7,1.0
133BF9052FCA,15,1.4
133DA8BD32F9,4,1.0
13426BBB0EC2,12,1.25
13457D2F2557,9,1.777778
13481B549329,10,1.3
13493E22AB5A,12,1.0
134BAA2D43CF,5,0.8
13502C406F65,9,1.0
13556F3D510C,6,1.166667
1359D3CCD936,9,1.444444
135F922187BC,12,1.083333
1360BDCC0176,14,1.0
1365F7051B17,8,1.0
136B9BDB53E0,15,1.066667
1377A50485F1,7,1.857143
137BAE6EAA41,14,1.357143
1385E7A90736,9,1.666667
138BB07570E0,12,1.0
138F86B73F7D,8,1.0
13989868021A,8,1.125
139E760C6DEE,7,1.0
139FC472EA3E,8,1.375
13A30C894FAD,9,0.888889
13A4CE233CDA,8,0.875
13AAAD860217,14,0.928571
13AF1E268C99,12,1.833333
13B3514D9E55,8,1.125
13B7179EB6D3,9,1.555556
13B7ABDC0051,8,1.25
13B841D2BC21,6,1.0
13BC8BC3654E,7,1.0
