provider=gpt model=gpt-5.4-mini-2026-03-17
targets=69573 done=0 prior_technical_failures=0 todo=69573
progress 500/69573 {'ok': 500, 'invalid': 0, 'tech_fail': 0}
progress 17000/69573 {'ok': 17000, 'invalid': 0, 'tech_fail': 0}
progress 17500/69573 {'ok': 17500, 'invalid': 0, 'tech_fail': 0}
progress 18000/69573 {'ok': 18000, 'invalid': 0, 'tech_fail': 0}
progress 18500/69573 {'ok': 18500, 'invalid': 0, 'tech_fail': 0}
progress 19000/69573 {'ok': 19000, 'invalid': 0, 'tech_fail': 0}
progress 19500/69573 {'ok': 19500, 'invalid': 0, 'tech_fail': 0}
progress 20000/69573 {'ok': 20000, 'invalid': 0, 'tech_fail': 0}
progress 20500/69573 {'ok': 20500, 'invalid': 0, 'tech_fail': 0}
progress 21000/69573 {'ok': 21000, 'invalid': 0, 'tech_fail': 0}
progress 21500/69573 {'ok': 21500, 'invalid': 0, 'tech_fail': 0}
progress 22000/69573 {'ok': 22000, 'invalid': 0, 'tech_fail': 0}
progress 22500/69573 {'ok': 22500, 'invalid': 0, 'tech_fail': 0}
progress 23000/69573 {'ok': 23000, 'invalid': 0, 'tech_fail': 0}
progress 23500/69573 {'ok': 23500, 'invalid': 0, 'tech_fail': 0}
progress 24000/69573 {'ok': 24000, 'invalid': 0, 'tech_fail': 0}
progress 24500/69573 {'ok': 24500, 'invalid': 0, 'tech_fail': 0}
progress 25000/69573 {'ok': 25000, 'invalid': 0, 'tech_fail': 0}
progress 25500/69573 {'ok': 25500, 'invalid': 0, 'tech_fail': 0}
progress 26000/69573 {'ok': 26000, 'invalid': 0, 'tech_fail': 0}
progress 26500/69573 {'ok': 26500, 'invalid': 0, 'tech_fail': 0}
progress 27000/69573 {'ok': 27000, 'invalid': 0, 'tech_fail': 0}
progress 27500/69573 {'ok': 27500, 'invalid': 0, 'tech_fail': 0}
progress 28000/69573 {'ok': 28000, 'invalid': 0, 'tech_fail': 0}
progress 28500/69573 {'ok': 28500, 'invalid': 0, 'tech_fail': 0}
progress 29000/69573 {'ok': 29000, 'invalid': 0, 'tech_fail': 0}
progress 29500/69573 {'ok': 29500, 'invalid': 0, 'tech_fail': 0}
progress 30000/69573 {'ok': 30000, 'invalid': 0, 'tech_fail': 0}
progress 30500/69573 {'ok': 30500, 'invalid': 0, 'tech_fail': 0}
progress 31000/69573 {'ok': 31000, 'invalid': 0, 'tech_fail': 0}
progress 31500/69573 {'ok': 31500, 'invalid': 0, 'tech_fail': 0}
progress 32000/69573 {'ok': 32000, 'invalid': 0, 'tech_fail': 0}
progress 32500/69573 {'ok': 32500, 'invalid': 0, 'tech_fail': 0}
progress 33000/69573 {'ok': 33000, 'invalid': 0, 'tech_fail': 0}
progress 33500/69573 {'ok': 33500, 'invalid': 0, 'tech_fail': 0}
progress 34000/69573 {'ok': 34000, 'invalid': 0, 'tech_fail': 0}
progress 34500/69573 {'ok': 34500, 'invalid': 0, 'tech_fail': 0}
progress 35000/69573 {'ok': 35000, 'invalid': 0, 'tech_fail': 0}
progress 35500/69573 {'ok': 35500, 'invalid': 0, 'tech_fail': 0}
progress 36000/69573 {'ok': 36000, 'invalid': 0, 'tech_fail': 0}
progress 36500/69573 {'ok': 36500, 'invalid': 0, 'tech_fail': 0}
progress 37000/69573 {'ok': 37000, 'invalid': 0, 'tech_fail': 0}
progress 37500/69573 {'ok': 37500, 'invalid': 0, 'tech_fail': 0}
progress 38000/69573 {'ok': 38000, 'invalid': 0, 'tech_fail': 0}
progress 38500/69573 {'ok': 38500, 'invalid': 0, 'tech_fail': 0}
progress 39000/69573 {'ok': 39000, 'invalid': 0, 'tech_fail': 0}
progress 39500/69573 {'ok': 39500, 'invalid': 0, 'tech_fail': 0}
progress 40000/69573 {'ok': 40000, 'invalid': 0, 'tech_fail': 0}
progress 40500/69573 {'ok': 40500, 'invalid': 0, 'tech_fail': 0}
progress 41000/69573 {'ok': 41000, 'invalid': 0, 'tech_fail': 0}
progress 41500/69573 {'ok': 41500, 'invalid': 0, 'tech_fail': 0}
progress 42000/69573 {'ok': 42000, 'invalid': 0, 'tech_fail': 0}
progress 42500/69573 {'ok': 42500, 'invalid': 0, 'tech_fail': 0}
progress 43000/69573 {'ok': 43000, 'invalid': 0, 'tech_fail': 0}
progress 43500/69573 {'ok': 43500, 'invalid': 0, 'tech_fail': 0}
progress 44000/69573 {'ok': 44000, 'invalid': 0, 'tech_fail': 0}
progress 44500/69573 {'ok': 44500, 'invalid': 0, 'tech_fail': 0}
progress 45000/69573 {'ok': 45000, 'invalid': 0, 'tech_fail': 0}
progress 45500/69573 {'ok': 45500, 'invalid': 0, 'tech_fail': 0}
progress 46000/69573 {'ok': 46000, 'invalid': 0, 'tech_fail': 0}
progress 46500/69573 {'ok': 46500, 'invalid': 0, 'tech_fail': 0}
progress 47000/69573 {'ok': 47000, 'invalid': 0, 'tech_fail': 0}
progress 47500/69573 {'ok': 47500, 'invalid': 0, 'tech_fail': 0}
progress 48000/69573 {'ok': 48000, 'invalid': 0, 'tech_fail': 0}
progress 48500/69573 {'ok': 48500, 'invalid': 0, 'tech_fail': 0}
progress 49000/69573 {'ok': 49000, 'invalid': 0, 'tech_fail': 0}
progress 49500/69573 {'ok': 49500, 'invalid': 0, 'tech_fail': 0}
progress 50000/69573 {'ok': 50000, 'invalid': 0, 'tech_fail': 0}
progress 50500/69573 {'ok': 50500, 'invalid': 0, 'tech_fail': 0}
progress 51000/69573 {'ok': 51000, 'invalid': 0, 'tech_fail': 0}
progress 51500/69573 {'ok': 51500, 'invalid': 0, 'tech_fail': 0}
progress 52000/69573 {'ok': 52000, 'invalid': 0, 'tech_fail': 0}
progress 52500/69573 {'ok': 52500, 'invalid': 0, 'tech_fail': 0}
progress 53000/69573 {'ok': 53000, 'invalid': 0, 'tech_fail': 0}
progress 53500/69573 {'ok': 53500, 'invalid': 0, 'tech_fail': 0}
progress 54000/69573 {'ok': 54000, 'invalid': 0, 'tech_fail': 0}
progress 54500/69573 {'ok': 54500, 'invalid': 0, 'tech_fail': 0}
progress 55000/69573 {'ok': 55000, 'invalid': 0, 'tech_fail': 0}
progress 55500/69573 {'ok': 55500, 'invalid': 0, 'tech_fail': 0}
progress 56000/69573 {'ok': 56000, 'invalid': 0, 'tech_fail': 0}
progress 56500/69573 {'ok': 56500, 'invalid': 0, 'tech_fail': 0}
progress 57000/69573 {'ok': 57000, 'invalid': 0, 'tech_fail': 0}
progress 57500/69573 {'ok': 57500, 'invalid': 0, 'tech_fail': 0}
progress 58000/69573 {'ok': 58000, 'invalid': 0, 'tech_fail': 0}
progress 58500/69573 {'ok': 58500, 'invalid': 0, 'tech_fail': 0}
progress 59000/69573 {'ok': 59000, 'invalid': 0, 'tech_fail': 0}
progress 59500/69573 {'ok': 59500, 'invalid': 0, 'tech_fail': 0}
progress 60000/69573 {'ok': 60000, 'invalid': 0, 'tech_fail': 0}
progress 60500/69573 {'ok': 60500, 'invalid': 0, 'tech_fail': 0}
progress 61000/69573 {'ok': 61000, 'invalid': 0, 'tech_fail': 0}
progress 61500/69573 {'ok': 61500, 'invalid': 0, 'tech_fail': 0}
progress 62000/69573 {'ok': 62000, 'invalid': 0, 'tech_fail': 0}
progress 62500/69573 {'ok': 62500, 'invalid': 0, 'tech_fail': 0}
progress 63000/69573 {'ok': 63000, 'invalid': 0, 'tech_fail': 0}
progress 63500/69573 {'ok': 63500, 'invalid': 0, 'tech_fail': 0}
progress 64000/69573 {'ok': 64000, 'invalid': 0, 'tech_fail': 0}
progress 64500/69573 {'ok': 64500, 'invalid': 0, 'tech_fail': 0}
progress 65000/69573 {'ok': 65000, 'invalid': 0, 'tech_fail': 0}
progress 65500/69573 {'ok': 65500, 'invalid': 0, 'tech_fail': 0}
progress 66000/69573 {'ok': 66000, 'invalid': 0, 'tech_fail': 0}
progress 66500/69573 {'ok': 66500, 'invalid': 0, 'tech_fail': 0}
progress 67000/69573 {'ok': 67000, 'invalid': 0, 'tech_fail': 0}
progress 67500/69573 {'ok': 67500, 'invalid': 0, 'tech_fail': 0}
progress 68000/69573 {'ok': 68000, 'invalid': 0, 'tech_fail': 0}
progress 68500/69573 {'ok': 68500, 'invalid': 0, 'tech_fail': 0}
progress 69000/69573 {'ok': 69000, 'invalid': 0, 'tech_fail': 0}
progress 69500/69573 {'ok': 69500, 'invalid': 0, 'tech_fail': 0}
finished: {'ok': 69573, 'invalid': 0, 'tech_fail': 0}
